transaction_id,payment_date,payment_amount,customer_name,payment_reference,status
TXN0036,2024-04-28,7217.12,Amit Kapoor,PAYGJLQM5K8,CAPTURED
TXN0037,2024-04-30,41828.09,Meera Joshi,PAYAT9MX2X1,CAPTURED
TXN0038,2024-06-08,42041.83,Neha Nair,PAYFEYUHZ1G,CAPTURED
TXN0039,2024-02-11,39000.7,Aarti Mehta,PAY8DALY8OZ,CAPTURED
TXN0040,2024-06-09,34685.41,Amit Choudhary,PAYIZKY22UB,CAPTURED
TXN0041,2024-01-18,33245.31,Lakshmi Kapoor,PAYSM43D8W3,CAPTURED
TXN0042,2024-06-15,36822.87,Meera Reddy,PAYJ3TRP0J4,CAPTURED
TXN0043,2024-03-28,39992.7,Rohan Rao,PAYKV5USGIO,CAPTURED
TXN0044,2024-05-05,32472.19,Nikhil Bose,PAYQAKOIXNT,CAPTURED
TXN0045,2024-05-20,49833.26,Pooja Kapoor,PAYLZJJEGET,CAPTURED
TXN0046,2024-05-03,9981.28,Gaurav Reddy,PAYJV1V93KM,CAPTURED
TXN0047,2024-05-02,14574.8,Rahul Choudhary,PAYPGB7R3OC,CAPTURED
TXN0048,2024-05-24,8010.49,Deepak Verma,PAY8DIUOVW1,CAPTURED
TXN0049,2024-03-17,45470.97,Karan Pillai,PAY49KWV08H,CAPTURED
TXN0050,2024-02-10,33191.19,Rohan Joshi,PAYITFOYQBK,CAPTURED
TXN0051,2024-02-29,4023.4,Nikhil Pillai,PAY72WX7PTX,CAPTURED
TXN0052,2024-02-12,4034.79,Arjun Gupta,PAY2V37PQKO,CAPTURED
TXN0053,2024-04-22,27229.09,Arjun Chatterjee,PAYCBPLJD84,CAPTURED
TXN0054,2024-06-21,47563.92,Manish Choudhary,PAY3U1GSPK9,CAPTURED
TXN0055,2024-04-30,48468.23,Meera Bose,PAYMLY4LYK8,CAPTURED
TXN0056,2024-01-23,2316.51,Arun Malhotra,PAYLL8OS9XT,CAPTURED
TXN0057,2024-06-08,26162.75,Priya Nair,PAY1W1HT7PZ,CAPTURED
TXN0058,2024-06-30,40066.03,Rahul Mishra,PAYFTTD96QE,CAPTURED
TXN0059,2024-03-15,25169.59,Arun Gupta,PAYSJ49ITN7,CAPTURED
TXN0060,2024-03-11,43269.33,Suresh Gupta,PAY14M2JA04,CAPTURED
TXN0061,2024-04-24,43330.4,Manish Bose,PAYTMTTQLGZ,CAPTURED
TXN0062,2024-04-15,12061.34,Manish Shah,PAYB0Z3NX39,CAPTURED
TXN0063,2024-02-09,43611.18,Vikram Kapoor,PAYC2JWOCLY,CAPTURED
TXN0064,2024-06-09,47729.91,Lakshmi Shah,PAYZ15BCW79,CAPTURED
TXN0065,2024-01-26,21981.59,Rashmi Patel,PAY1ZDFKBLC,CAPTURED
TXN0066,2024-03-03,22103.65,Pooja Rao,PAYTU2GC5WI,CAPTURED
TXN0067,2024-06-19,23248.74,Deepak Joshi,PAYA26YFPMV,CAPTURED
TXN0068,2024-03-18,23113.37,Meera Joshi,PAYHNRIUU9K,CAPTURED
TXN0069,2024-05-24,14086.78,Arun Shah,PAY52960361,CAPTURED
TXN0070,2024-02-18,11731.22,Aarti Rao,PAYWYZX4W6X,CAPTURED
TXN0071,2024-03-16,4961.6,Pooja Gupta,PAYLOH25NSJ,CAPTURED
TXN0072,2024-05-03,45745.42,Ananya Joshi,PAY8K52QC1I,CAPTURED
TXN0073,2024-05-22,48379.85,Sunita Shah,PAYN2ATQYYV,CAPTURED
TXN0074,2024-06-07,23838.1,Sneha Iyer,PAY5U6HC36K,CAPTURED
TXN0075,2024-01-10,7418.96,Meera Mehta,PAYKRD5EQY0,CAPTURED
TXN0076,2024-02-09,29573.35,Lakshmi Kapoor,PAY5X4W7KYH,CAPTURED
TXN0077,2024-01-26,42917.06,Raj Iyer,PAY9N6XCJ88,CAPTURED
TXN0078,2024-01-13,48569.12,Deepak Mishra,PAY2IEUC1HH,CAPTURED
TXN0079,2024-02-07,16763.7,Geeta Iyer,PAY2VJ99T2D,CAPTURED
TXN0080,2024-03-01,18232.99,Vikram Sharma,PAYVAJEPECQ,CAPTURED
TXN0081,2024-04-12,49930.04,Rahul Verma,PAYPDZP6LFE,CAPTURED
TXN0082,2024-03-24,27643.64,Aarti Choudhary,PAYNVKSP2EX,CAPTURED
TXN0083,2024-02-09,19027.9,Siddharth Joshi,PAYYRDDP0NE,CAPTURED
TXN0084,2024-05-23,47852.92,Priya Choudhary,PAYLEMX15Z8,CAPTURED
TXN0085,2024-05-27,17906.49,Aarti Singh,PAYSFR4MUEK,CAPTURED
TXN0086,2024-06-08,42335.18,Neha Kapoor,PAYWXA73JGZ,CAPTURED
TXN0087,2024-02-16,17875.66,Kavya Kumar,PAY5UOFWB0H,CAPTURED
TXN0088,2024-04-04,17374.35,Meera Pillai,PAYLL7V5F1B,CAPTURED
TXN0089,2024-04-18,22434.09,Amit Joshi,PAYRPJ1EPKY,CAPTURED
TXN0090,2024-01-12,33523.06,Divya Chatterjee,PAYH9BH811K,CAPTURED
