bank_id,settlement_date,settlement_amount,description,bank_reference
BNK0020,2024-03-15,8194.67,Settlement Sneha Malhotra Ref: P-DPJA1WJ0,
BNK0021,2024-06-25,46334.42,Settlement PAY6T4UFEL6 Sneha Patel (net of 2% fees),PAY6T4UFEL6
BNK0022,2024-06-20,34262.3,Settlement PAYD25OWF75 Pooja Nair,PAYD25OWF75
BNK0023,2024-03-26,9190.78,Settlement PAY2OY0IFZN Meera Sharma (net of 2% fees),PAY2OY0IFZN
BNK0024,2024-05-11,17881.73,Settlement PAYO9T7E8G8 Gaurav Joshi,PAYO9T7E8G8
BNK0025,2024-05-12,17881.73,Settlement PAYO9T7E8G8 Gaurav Joshi DUP,PAYO9T7E8G8
BNK0026,2024-04-21,5865.93,Settlement PAYM2P9E6GB NEFT/ARJUN VERMA,PAYM2P9E6GB
BNK0027,2024-06-20,34499.43,Settlement PAYHP87WXE6 Suresh Malhotra,PAYHP87WXE6
BNK0028,2024-03-24,33511.2,Settlement PAYOKEP7Y6W Suresh Singh,PAYOKEP7Y6W
BNK0029,2024-01-01,27622.89,Settlement PAYKH2VLPYS Kavya Shah,PAYKH2VLPYS
BNK0031,2024-03-15,33113.11,Settlement Smita Reddy Ref: P-AIR4COWG,
BNK0030,2024-03-15,33113.11,Settlement Smita Reddy Ref: P-SWM31YIH,
BNK0032,2024-01-02,32974.87,Settlement PAY6452H2ZQ Neha Gupta,PAY6452H2ZQ
BNK0033,2024-02-01,45914.77,Settlement PAYQ2Y9V86W Lakshmi Iyer,PAYQ2Y9V86W
BNK0034,2024-05-22,21623.67,Settlement PAYQF5Q14J1 NEFT/RASHMI CHATTERJEE,PAYQF5Q14J1
BNK0035,2024-03-14,22273.69,Settlement PAYIM6CFNFH Neha Joshi,PAYIM6CFNFH
BNK0036,2024-04-29,16878.63,Settlement PAYOHP6VZ41 Meera Kapoor,PAYOHP6VZ41
BNK0037,2024-04-01,1141.97,Settlement PAYKO64T026 Karan Bose,PAYKO64T026
BNK0038,2024-06-22,16795.64,Settlement PAY20479T6V Rahul Shah (net of 2% fees),PAY20479T6V
BNK0039,2024-04-29,7217.12,Settlement PAYGJLQM5K8 Amit Kapoor,PAYGJLQM5K8
BNK0040,2024-04-30,7217.12,Settlement PAYGJLQM5K8 Amit Kapoor DUP,PAYGJLQM5K8
BNK0041,2024-04-30,41828.09,Settlement PAYAT9MX2X1 Meera Joshi,PAYAT9MX2X1
BNK0042,2024-06-08,42041.83,Settlement PAYFEYUHZ1G Neha Nair,PAYFEYUHZ1G
BNK0043,2024-02-11,39000.7,Settlement PAY8DALY8OZ Aarti Mehta,PAY8DALY8OZ
BNK0044,2024-06-09,34685.41,Settlement PAYIZKY22UB Amit Choudhary,PAYIZKY22UB
BNK0045,2024-01-18,33245.31,Settlement PAYSM43D8W3 Lakshmi,PAYSM43D8W3
BNK0047,2024-06-17,36822.87,Settlement Meera Reddy Ref: P-3D5IQVNB,
BNK0046,2024-06-17,36822.87,Settlement Meera Reddy Ref: P-J3TRP0J4,
BNK0048,2024-03-29,39192.85,Settlement PAYKV5USGIO Rohan Rao (net of 2% fees),PAYKV5USGIO
BNK0049,2024-05-05,32472.19,Settlement PAYQAKOIXNT Nikhil Bose,PAYQAKOIXNT
BNK0050,2024-05-20,49833.26,Settlement PAYLZJJEGET Pooja Kapoor,PAYLZJJEGET
BNK0052,2024-05-05,9981.28,Settlement Gaurav Reddy Ref: P-KZEBBK7W,
BNK0051,2024-05-05,9981.28,Settlement Gaurav Reddy Ref: P-JV1V93KM,
BNK0053,2024-05-02,14574.8,Settlement PAYPGB7R3OC Rahul Choudhary,PAYPGB7R3OC
BNK0054,2024-05-24,8010.49,Settlement PAY8DIUOVW1 Deepak Verma,PAY8DIUOVW1
BNK0055,2024-03-17,45470.97,Settlement PAY49KWV08H Karan Pillai,PAY49KWV08H
BNK0056,2024-02-12,32527.37,Settlement PAYITFOYQBK Rohan Joshi (net of 2% fees),PAYITFOYQBK
BNK0057,2024-02-29,4023.4,Settlement PAY72WX7PTX Nikhil Pillai,PAY72WX7PTX
BNK0058,2024-02-13,4034.79,Settlement PAY2V37PQKO Arjun Gupta,PAY2V37PQKO
BNK0059,2024-02-14,4034.79,Settlement PAY2V37PQKO Arjun Gupta DUP,PAY2V37PQKO
BNK0060,2024-04-22,27229.09,Settlement PAYCBPLJD84 Arjun Chatterjee,PAYCBPLJD84
BNK0061,2024-06-21,47563.92,Settlement PAY3U1GSPK9 Manish Choudhary,PAY3U1GSPK9
BNK0062,2024-04-30,48468.23,Settlement PAYMLY4LYK8 Meera Bose,PAYMLY4LYK8
BNK0063,2024-01-25,2316.51,Settlement PAYLL8OS9XT Arun Malhotra,PAYLL8OS9XT
BNK0064,2024-06-08,25639.5,Settlement PAY1W1HT7PZ Priya Nair (net of 2% fees),PAY1W1HT7PZ
BNK0065,2024-03-15,25169.59,Settlement PAYSJ49ITN7 Arun Gupta,PAYSJ49ITN7
BNK0066,2024-04-24,43330.4,Settlement PAYTMTTQLGZ Manish Bose,PAYTMTTQLGZ
BNK0068,2024-04-17,12061.34,Settlement Manish Shah Ref: P-RBSV55PS,
BNK0067,2024-04-17,12061.34,Settlement Manish Shah Ref: P-B0Z3NX39,
BNK0069,2024-02-09,43611.18,Settlement PAYC2JWOCLY Vikram Kapoor,PAYC2JWOCLY
BNK0070,2024-06-09,47729.91,Settlement PAYZ15BCW79 Lakshmi Shah,PAYZ15BCW79
BNK0071,2024-01-26,21981.59,Settlement PAY1ZDFKBLC Rashmi Patel,PAY1ZDFKBLC
BNK0072,2024-03-04,18920.72,Settlement PAYTU2GC5WI Pooja Rao,PAYTU2GC5WI
BNK0073,2024-06-22,23248.74,Settlement PAYA26YFPMV Deepak Joshi,PAYA26YFPMV
BNK0074,2024-05-25,14086.78,Settlement PAY52960361 Arun Shah,PAY52960361
BNK0075,2024-02-20,10534.64,Settlement PAYWYZX4W6X Aarti Rao,PAYWYZX4W6X
BNK0076,2024-03-16,4961.6,Settlement PAYLOH25NSJ Pooja Gupta,PAYLOH25NSJ
BNK0077,2024-05-04,45745.42,Settlement PAY8K52QC1I Ananya Joshi,PAY8K52QC1I
BNK0078,2024-05-05,45745.42,Settlement PAY8K52QC1I Ananya Joshi DUP,PAY8K52QC1I
BNK0079,2024-05-23,48379.85,Settlement PAYN2ATQYYV Sunita,PAYN2ATQYYV
BNK0080,2024-06-07,23838.1,Settlement PAY5U6HC36K Sneha Iyer,PAY5U6HC36K
BNK0081,2024-01-10,7418.96,Settlement PAYKRD5EQY0 Meera Mehta,PAYKRD5EQY0
BNK0082,2024-02-10,29573.35,Settlement PAY5X4W7KYH Lakshmi Kapoor,PAY5X4W7KYH
BNK0083,2024-02-11,29573.35,Settlement PAY5X4W7KYH Lakshmi Kapoor DUP,PAY5X4W7KYH
BNK0084,2024-01-26,36994.51,Settlement PAY9N6XCJ88 Raj Iyer,PAY9N6XCJ88
BNK0085,2024-01-13,48569.12,Settlement PAY2IEUC1HH Deepak Mishra,PAY2IEUC1HH
BNK0086,2024-02-08,16763.7,Settlement PAY2VJ99T2D Geeta Iyer,PAY2VJ99T2D
BNK0088,2024-03-03,18232.99,Settlement Vikram Sharma Ref: P-NVQHW06X,
BNK0087,2024-03-03,18232.99,Settlement Vikram Sharma Ref: P-VAJEPECQ,
BNK0089,2024-04-12,49930.04,Settlement PAYPDZP6LFE Rahul Verma,PAYPDZP6LFE
BNK0091,2024-03-25,27643.64,Settlement Aarti Choudhary Ref: P-5T5P5O3O,
BNK0090,2024-03-25,27643.64,Settlement Aarti Choudhary Ref: P-NVKSP2EX,
BNK0092,2024-02-09,19027.9,Settlement PAYYRDDP0NE Siddharth Joshi,PAYYRDDP0NE
BNK0093,2024-05-23,47852.92,Settlement PAYLEMX15Z8 Priya Choudhary,PAYLEMX15Z8
BNK0094,2024-05-27,17906.49,Settlement PAYSFR4MUEK Aarti Singh,PAYSFR4MUEK
BNK0095,2024-06-08,42335.18,Settlement PAYWXA73JGZ Neha Kapoor,PAYWXA73JGZ
BNK0096,2024-02-16,17875.66,Settlement PAY5UOFWB0H Kavya Kumar,PAY5UOFWB0H
BNK0097,2024-04-04,17374.35,Settlement PAYLL7V5F1B Meera Pillai,PAYLL7V5F1B
BNK0098,2024-04-18,22434.09,Settlement PAYRPJ1EPKY Amit Joshi,PAYRPJ1EPKY
